Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
R1;71;ALGER EST 12;ALGER EST;0,312;0,245;0,067
R1;72;SETIF 22;SETIF;0,354;0,291;0,063
R1;73;BATNA 17;BATNA;0,305;0,252;0,053
R1;74;TIARET 15;TIARET;0,358;0,307;0,051
R1;75;MASCARA 11;MASCARA;0,332;0,288;0,043
R1;76;ALGER EST 28;ALGER EST;0,33;0,289;0,041
R1;77;BLIDA 11;BLIDA;0,344;0,303;0,041
R1;78;DJELFA 17;DJELFA;0,376;0,345;0,032
R1;79;BISKRA 10;BISKRA;0,311;0,281;0,03
R1;80;BISKRA 11;BISKRA;0,304;0,274;0,029
R1;81;BOUMERDES 16;BOUMERDES;0,399;0,372;0,026
R1;82;OUM EL BOUAGHI 14;OUM EL BOUAGHI;0,322;0,296;0,026
R1;83;BLIDA 06;BLIDA;0,289;0,263;0,026
R1;84;SETIF 09;SETIF;0,317;0,296;0,02
R1;85;BOUIRA 20;BOUIRA;0,282;0,265;0,017
R1;86;BEJAIA 02;BEJAIA;0,281;0,265;0,016
R1;87;ALGER EST 07;ALGER EST;0,305;0,293;0,012
R1;88;TLEMCEN 16;TLEMCEN;0,308;0,299;0,009
R1;89;TIZI OUZOU 05;TIZI OUZOU;0,283;0,277;0,005
R1;90;TIARET 10;TIARET;0,282;0,28;0,003
R1;91;ORAN 18;ORAN;0,289;0,287;0,001
R1;92;CHLEF 10;CHLEF;0,31;0,311;-0,002
R1;93;SIDI BEL ABBES 12;SIDI BEL ABBES;0,371;0,376;-0,005
R1;94;MEDEA 02;MEDEA;0,297;0,304;-0,007
R1;95;ALGER CENTRE 14;ALGER CENTRE;0,321;0,328;-0,007
R1;96;BLIDA 17;BLIDA;0,311;0,322;-0,012
R1;97;TLEMCEN 05;TLEMCEN;0,267;0,279;-0,012
R1;98;BATNA 20;BATNA;0,278;0,295;-0,018
R1;99;TIZI OUZOU 14;TIZI OUZOU;0,401;0,426;-0,026
R1;100;RELIZANE 09;RELIZANE;0,318;0,344;-0,026
R1;101;DJELFA 08;DJELFA;0,303;0,331;-0,029
R1;102;SETIF 24;SETIF;0,274;0,31;-0,036
R1;103;ALGER OUEST 27;ALGER OUEST;0,278;0,317;-0,04
R1;104;CONSTANTINE 14;CONSTANTINE;0,283;0,326;-0,042
R1;105;ALGER EST 11;ALGER EST;0,288;0,334;-0,045
R1;106;ADRAR 03;ADRAR;0,3;0,352;-0,053
R1;107;BORDJ BOUARRERIDJ 10;BORDJ BOUARRERIDJ;0,279;0,335;-0,055
R1;108;MILA 05;MILA;0,251;0,307;-0,056
R1;109;ORAN 38;ORAN;0,262;0,32;-0,058
R1;110;MOSTAGANEM 10;MOSTAGANEM;0,293;0,355;-0,063
R1;111;BOUIRA 02;BOUIRA;0,285;0,351;-0,067
R1;112;ORAN 03;ORAN;0,301;0,368;-0,067
R1;113;MASCARA 21;MASCARA;0,281;0,35;-0,07
R1;114;BEJAIA 18;BEJAIA;0,262;0,342;-0,08
R1;115;BISKRA 12;BISKRA;0,239;0,325;-0,086
R1;116;TIZI OUZOU 10;TIZI OUZOU;0,262;0,352;-0,09
R1;117;CHLEF 06;CHLEF;0,285;0,375;-0,09
R1;118;TIARET 20;TIARET;0,256;0,348;-0,091
R1;119;ALGER OUEST 14;ALGER OUEST;0,28;0,374;-0,094
R1;120;BOUMERDES 15;BOUMERDES;0,261;0,358;-0,096
R1;121;BOUIRA 17;BOUIRA;0,263;0,359;-0,096
R1;122;MASCARA 14;MASCARA;0,283;0,383;-0,1
R1;123;BEJAIA 12;BEJAIA;0,258;0,359;-0,101
R1;124;CONSTANTINE 33;CONSTANTINE;0,28;0,382;-0,102
R1;125;ORAN 22;ORAN;0,25;0,356;-0,106
R1;126;ALGER EST 18;ALGER EST;0,247;0,353;-0,106
R1;127;ORAN 33;ORAN;0,308;0,416;-0,108
R1;128;TEBESSA 23;TEBESSA;0,285;0,396;-0,112
R1;129;SIDI BEL ABBES 07;SIDI BEL ABBES;0,233;0,354;-0,121
R1;130;TEBESSA 26;TEBESSA;0,256;0,38;-0,124
R1;131;ORAN 01;ORAN;0,26;0,384;-0,124
R1;132;SETIF 02;SETIF;0,242;0,366;-0,125
R1;133;BOUMERDES 04;BOUMERDES;0,235;0,368;-0,133
R1;134;NAAMA 01;NAAMA;0,284;0,417;-0,133
R1;135;ALGER CENTRE 24;ALGER CENTRE;0,234;0,369;-0,134
R1;136;ALGER EST 20;ALGER EST;0,266;0,403;-0,137
R1;137;BOUMERDES 23;BOUMERDES;0,245;0,383;-0,138
R1;138;ALGER OUEST 28;ALGER OUEST;0,238;0,378;-0,14
R1;139;SIDI BEL ABBES 08;SIDI BEL ABBES;0,223;0,37;-0,146
R1;140;SETIF 08;SETIF;0,272;0,43;-0,158
R1;141;BOUMERDES 05;BOUMERDES;0,254;0,417;-0,163
R1;142;ANNABA 05;ANNABA;0,203;0,366;-0,163
R1;143;ALGER OUEST 03;ALGER OUEST;0,218;0,386;-0,167
R1;144;BEJAIA 03;BEJAIA;0,249;0,416;-0,168
R1;145;KHENCHELA 06;KHENCHELA;0,261;0,436;-0,175
R1;146;OUM EL BOUAGHI 04;OUM EL BOUAGHI;0,254;0,435;-0,181
R1;147;BORDJ BOUARRERIDJ 04;BORDJ BOUARRERIDJ;0,215;0,399;-0,184
R1;148;ALGER EST 13;ALGER EST;0,23;0,419;-0,189
R1;149;TIZI OUZOU 01;TIZI OUZOU;0,226;0,42;-0,195
R1;150;JIJEL 19;JIJEL;0,268;0,474;-0,206
R1;151;ORAN 35;ORAN;0,201;0,409;-0,208
R1;152;EL TARF 08;EL TARF;0,209;0,422;-0,213
R1;153;ORAN 32;ORAN;0,218;0,436;-0,218
R1;154;ANNABA 09;ANNABA;0,198;0,418;-0,22
R1;155;BLIDA 27;BLIDA;0,206;0,429;-0,223
R1;156;TEBESSA 09;TEBESSA;0,332;0,558;-0,226
R1;157;ALGER OUEST 29;ALGER OUEST;0,21;0,436;-0,226
R1;158;ORAN 34;ORAN;0,224;0,45;-0,227
R1;159;TIMIMOUN 01;TIMIMOUN;0,232;0,464;-0,231
R1;160;OUM EL BOUAGHI 11;OUM EL BOUAGHI;0,214;0,45;-0,236
R1;161;SKIKDA 03;SKIKDA;0,213;0,453;-0,24
R1;162;ALGER CENTRE 20;ALGER CENTRE;0,239;0,49;-0,251
R1;163;TEBESSA 02;TEBESSA;0,227;0,478;-0,252
R1;164;KHENCHELA 08;KHENCHELA;0,212;0,465;-0,253
R1;165;BLIDA 26;BLIDA;0,204;0,459;-0,256
R1;166;ORAN 06;ORAN;0,226;0,482;-0,256
R1;167;BOUMERDES 03;BOUMERDES;0,204;0,474;-0,27
R1;168;ALGER EST 17;ALGER EST;0,219;0,495;-0,276
R1;169;BEJAIA 14;BEJAIA;0,229;0,508;-0,278
R1;170;EL MEGHAIER 02;EL MEGHAIER;0,172;0,452;-0,28
R1;171;TLEMCEN 12;TLEMCEN;0,173;0,465;-0,292
R1;172;GHARDAIA 04;GHARDAIA;0,185;0,477;-0,292
R1;173;ANNABA 07;ANNABA;0,189;0,485;-0,297
R1;174;ANNABA 06;ANNABA;0,178;0,475;-0,297
R1;175;BATNA 11;BATNA;0,164;0,468;-0,304
R1;176;SIDI BEL ABBES 15;SIDI BEL ABBES;0,191;0,5;-0,31
R1;177;BEJAIA 16;BEJAIA;0,176;0,496;-0,32
R1;178;TIZI OUZOU 07;TIZI OUZOU;0,163;0,485;-0,322
R1;179;ALGER OUEST 16;ALGER OUEST;0,168;0,494;-0,326
R1;180;CHLEF 02;CHLEF;0,175;0,506;-0,331
R1;181;ALGER CENTRE 09;ALGER CENTRE;0,175;0,507;-0,331
R1;182;TEBESSA 21;TEBESSA;0,138;0,517;-0,379
R1;183;BENI ABBES 01;BENI ABBES;0,178;0,6;-0,422
R1;184;OUARGLA 01;OUARGLA;0,097;0,62;-0,523
R2;1;CONSTANTINE 01;CONSTANTINE;0,571;0,071;0,501
R2;2;ADRAR 05;ADRAR;0,601;0,12;0,481
R2;3;JIJEL 01;JIJEL;0,613;0,152;0,461
R2;4;BORDJ BOUARRERIDJ 03;BORDJ BOUARRERIDJ;0,549;0,097;0,452
R2;5;EL TARF 05;EL TARF;0,546;0,098;0,448
R2;6;CONSTANTINE 16;CONSTANTINE;0,573;0,142;0,431
R2;7;TIMIMOUN 03;TIMIMOUN;0,513;0,104;0,409
R2;8;CHLEF 13;CHLEF;0,525;0,116;0,409
R2;9;AIN DEFLA 13;AIN DEFLA;0,509;0,104;0,404
R2;10;SAIDA 04;SAIDA;0,514;0,115;0,399
R2;11;SETIF 30;SETIF;0,53;0,137;0,393
R2;12;MEDEA 03;MEDEA;0,542;0,161;0,381
R2;13;JIJEL 14;JIJEL;0,473;0,095;0,378
R2;14;BORDJ BOUARRERIDJ 11;BORDJ BOUARRERIDJ;0,482;0,113;0,369
R2;15;MOSTAGANEM 23;MOSTAGANEM;0,482;0,114;0,369
R2;16;MSILA 09;MSILA;0,516;0,149;0,367
R2;17;BORDJ BOUARRERIDJ 18;BORDJ BOUARRERIDJ;0,509;0,151;0,358
R2;18;ALGER EST 38;ALGER EST;0,524;0,173;0,351
R2;19;ALGER CENTRE 32;ALGER CENTRE;0,52;0,172;0,348
R2;20;RELIZANE 14;RELIZANE;0,486;0,141;0,345
R2;21;BORDJ BOUARRERIDJ 13;BORDJ BOUARRERIDJ;0,488;0,148;0,34
R2;22;BISKRA 08;BISKRA;0,479;0,141;0,338
R2;23;BECHAR 02;BECHAR;0,534;0,197;0,338
R2;24;SETIF 14;SETIF;0,453;0,12;0,334
R2;25;AIN DEFLA 16;AIN DEFLA;0,493;0,164;0,329
R2;26;TIZI OUZOU 15;TIZI OUZOU;0,493;0,176;0,317
R2;27;TEBESSA 04;TEBESSA;0,509;0,194;0,315
