Classe;Rang PROMETHEE II;Désignation;UPW;Flux positif;Flux négatif;Flux net
R3;77;LAGHOUAT 07;LAGHOUAT;0,315;0,225;0,09
R3;78;OUARGLA 05;OUARGLA;0,423;0,338;0,086
R3;79;MSILA 14;MSILA;0,408;0,323;0,085
R3;80;RELIZANE 04;RELIZANE;0,373;0,289;0,084
R3;81;TEBESSA 07;TEBESSA;0,433;0,354;0,079
R3;82;RELIZANE 01;RELIZANE;0,299;0,222;0,077
R3;83;LAGHOUAT 03;LAGHOUAT;0,377;0,3;0,077
R3;84;BORDJ BOUARRERIDJ 19;BORDJ BOUARRERIDJ;0,372;0,296;0,076
R3;85;BENI ABBES 02;BENI ABBES;0,334;0,26;0,074
R3;86;EL TARF 07;EL TARF;0,37;0,299;0,071
R3;87;TEBESSA 20;TEBESSA;0,354;0,293;0,062
R3;88;AIN DEFLA 04;AIN DEFLA;0,334;0,28;0,054
R3;89;ALGER CENTRE 21;ALGER CENTRE;0,326;0,273;0,053
R3;90;ORAN 02;ORAN;0,347;0,3;0,047
R3;91;TLEMCEN 17;TLEMCEN;0,346;0,302;0,045
R3;92;EL MEGHAIER 03;EL MEGHAIER;0,302;0,259;0,043
R3;93;BISKRA 09;BISKRA;0,361;0,321;0,04
R3;94;MOSTAGANEM 06;MOSTAGANEM;0,29;0,255;0,034
R3;95;ORAN 28;ORAN;0,358;0,326;0,032
R3;96;LAGHOUAT 19;LAGHOUAT;0,289;0,263;0,026
R3;97;SKIKDA 10;SKIKDA;0,284;0,26;0,024
R3;98;ALGER OUEST 04;ALGER OUEST;0,312;0,292;0,02
R3;99;EL BAYADH 03;EL BAYADH;0,331;0,316;0,016
R3;100;MASCARA 22;MASCARA;0,288;0,275;0,013
R3;101;OUM EL BOUAGHI 09;OUM EL BOUAGHI;0,317;0,304;0,012
R3;102;AIN TEMOUCHENT 03;AIN TEMOUCHENT;0,301;0,29;0,012
R3;103;EL BAYADH 02;EL BAYADH;0,292;0,282;0,011
R3;104;AIN DEFLA 03;AIN DEFLA;0,293;0,284;0,009
R3;105;CHLEF 05;CHLEF;0,307;0,305;0,002
R3;106;ANNABA 18;ANNABA;0,303;0,304;-0,001
R3;107;DJELFA 15;DJELFA;0,29;0,291;-0,001
R3;108;BOUMERDES 20;BOUMERDES;0,288;0,29;-0,002
R3;109;TIPAZA 18;TIPAZA;0,295;0,297;-0,002
R3;110;BOUIRA 07;BOUIRA;0,284;0,296;-0,012
R3;111;RELIZANE 03;RELIZANE;0,281;0,293;-0,012
R3;112;MEDEA 15;MEDEA;0,298;0,314;-0,016
R3;113;BOUIRA 12;BOUIRA;0,285;0,303;-0,018
R3;114;EL BAYADH 05;EL BAYADH;0,295;0,313;-0,019
R3;115;MOSTAGANEM 11;MOSTAGANEM;0,327;0,347;-0,02
R3;116;SKIKDA 06;SKIKDA;0,298;0,319;-0,021
R3;117;TEBESSA 01;TEBESSA;0,261;0,283;-0,022
R3;118;BLIDA 05;BLIDA;0,314;0,338;-0,024
R3;119;SOUK AHRAS 08;SOUK AHRAS;0,288;0,314;-0,025
R3;120;SAIDA 11;SAIDA;0,254;0,286;-0,032
R3;121;ALGER OUEST 23;ALGER OUEST;0,319;0,352;-0,033
R3;122;SIDI BEL ABBES 02;SIDI BEL ABBES;0,264;0,301;-0,037
R3;123;ALGER CENTRE 22;ALGER CENTRE;0,325;0,371;-0,045
R3;124;DJELFA 02;DJELFA;0,331;0,377;-0,046
R3;125;BECHAR 11;BECHAR;0,287;0,334;-0,047
R3;126;ANNABA 12;ANNABA;0,311;0,362;-0,051
R3;127;SKIKDA 05;SKIKDA;0,255;0,315;-0,06
R3;128;TIZI OUZOU 19;TIZI OUZOU;0,299;0,361;-0,062
R3;129;MSILA 04;MSILA;0,287;0,35;-0,063
R3;130;SAIDA 02;SAIDA;0,239;0,307;-0,067
R3;131;KHENCHELA 02;KHENCHELA;0,267;0,338;-0,071
R3;132;NAAMA 03;NAAMA;0,362;0,436;-0,073
R3;133;SETIF 10;SETIF;0,231;0,304;-0,073
R3;134;OUM EL BOUAGHI 08;OUM EL BOUAGHI;0,24;0,315;-0,075
R3;135;ALGER CENTRE 29;ALGER CENTRE;0,256;0,334;-0,078
R3;136;SETIF 29;SETIF;0,262;0,342;-0,08
R3;137;BLIDA 18;BLIDA;0,258;0,347;-0,089
R3;138;JIJEL 06;JIJEL;0,273;0,366;-0,093
R3;139;CHLEF 19;CHLEF;0,332;0,429;-0,097
R3;140;MSILA 05;MSILA;0,262;0,363;-0,101
R3;141;MOSTAGANEM 22;MOSTAGANEM;0,238;0,345;-0,106
R3;142;LAGHOUAT 02;LAGHOUAT;0,289;0,396;-0,107
R3;143;TIPAZA 05;TIPAZA;0,22;0,328;-0,108
R3;144;OUARGLA 14;OUARGLA;0,239;0,347;-0,109
R3;145;TOUGGOURT 03;TOUGGOURT;0,256;0,368;-0,112
R3;146;SOUK AHRAS 11;SOUK AHRAS;0,281;0,395;-0,114
R3;147;TLEMCEN 04;TLEMCEN;0,235;0,354;-0,119
R3;148;ORAN 15;ORAN;0,249;0,369;-0,12
R3;149;ALGER OUEST 09;ALGER OUEST;0,242;0,363;-0,121
R3;150;ALGER CENTRE 15;ALGER CENTRE;0,266;0,387;-0,121
R3;151;ALGER OUEST 13;ALGER OUEST;0,253;0,375;-0,122
R3;152;MASCARA 10;MASCARA;0,263;0,386;-0,123
R3;153;GHARDAIA 02;GHARDAIA;0,251;0,378;-0,127
R3;154;TIPAZA 14;TIPAZA;0,251;0,379;-0,129
R3;155;MSILA 15;MSILA;0,234;0,364;-0,129
R3;156;OUARGLA 13;OUARGLA;0,265;0,4;-0,135
R3;157;OUM EL BOUAGHI 06;OUM EL BOUAGHI;0,236;0,371;-0,135
R3;158;ALGER EST 23;ALGER EST;0,237;0,375;-0,138
R3;159;ALGER OUEST 11;ALGER OUEST;0,225;0,364;-0,139
R3;160;BEJAIA 08;BEJAIA;0,259;0,403;-0,144
R3;161;ORAN 43;ORAN;0,237;0,381;-0,144
R3;162;ILLIZI 02;ILLIZI;0,279;0,424;-0,145
R3;163;BOUIRA 08;BOUIRA;0,23;0,379;-0,149
R3;164;ALGER EST 14;ALGER EST;0,228;0,378;-0,15
R3;165;SKIKDA 16;SKIKDA;0,254;0,404;-0,151
R3;166;ANNABA 11;ANNABA;0,268;0,42;-0,152
R3;167;BATNA 04;BATNA;0,267;0,425;-0,158
R3;168;BATNA 09;BATNA;0,218;0,377;-0,158
R3;169;ORAN 31;ORAN;0,259;0,434;-0,175
R3;170;TIPAZA 16;TIPAZA;0,214;0,392;-0,178
R3;171;BEJAIA 05;BEJAIA;0,244;0,422;-0,178
R3;172;ALGER EST 03;ALGER EST;0,226;0,415;-0,189
R3;173;ALGER EST 33;ALGER EST;0,192;0,383;-0,191
R3;174;RELIZANE 12;RELIZANE;0,234;0,426;-0,192
R3;175;SIDI BEL ABBES 16;SIDI BEL ABBES;0,21;0,402;-0,193
R3;176;KHENCHELA 07;KHENCHELA;0,225;0,42;-0,196
R3;177;BEJAIA 06;BEJAIA;0,217;0,414;-0,197
R3;178;CHLEF 12;CHLEF;0,191;0,389;-0,198
R3;179;SETIF 26;SETIF;0,205;0,405;-0,201
R3;180;TIPAZA 07;TIPAZA;0,218;0,42;-0,202
R3;181;TEBESSA 24;TEBESSA;0,227;0,432;-0,205
R3;182;TLEMCEN 01;TLEMCEN;0,25;0,459;-0,208
R3;183;GUELMA 01;GUELMA;0,202;0,433;-0,231
R3;184;BEJAIA 07;BEJAIA;0,18;0,415;-0,235
R3;185;MASCARA 01;MASCARA;0,191;0,431;-0,241
R3;186;MASCARA 17;MASCARA;0,231;0,482;-0,251
R3;187;TIARET 24;TIARET;0,168;0,425;-0,257
R3;188;CHLEF 03;CHLEF;0,215;0,475;-0,26
R3;189;TOUGGOURT 08;TOUGGOURT;0,199;0,473;-0,273
R3;190;LAGHOUAT 09;LAGHOUAT;0,184;0,46;-0,276
R3;191;MASCARA 19;MASCARA;0,172;0,449;-0,278
R3;192;MEDEA 16;MEDEA;0,177;0,465;-0,288
R3;193;SETIF 19;SETIF;0,178;0,489;-0,311
R3;194;TLEMCEN 02;TLEMCEN;0,164;0,5;-0,335
R3;195;BECHAR 08;BECHAR;0,186;0,523;-0,336
R3;196;CHLEF 14;CHLEF;0,155;0,493;-0,338
R3;197;CHLEF 07;CHLEF;0,16;0,498;-0,338
R3;198;MASCARA 13;MASCARA;0,171;0,518;-0,347
R3;199;ALGER OUEST 17;ALGER OUEST;0,17;0,522;-0,352
R3;200;TOUGGOURT 09;TOUGGOURT;0,164;0,52;-0,356
R3;201;TEBESSA 15;TEBESSA;0,179;0,535;-0,356
R3;202;JIJEL 10;JIJEL;0,157;0,515;-0,359
R3;203;BOUMERDES 06;BOUMERDES;0,157;0,548;-0,391
R3;204;RELIZANE 07;RELIZANE;0,149;0,543;-0,393
R3;205;OUARGLA 03;OUARGLA;0,165;0,56;-0,395
R3;206;SOUK AHRAS 12;SOUK AHRAS;0,123;0,566;-0,443
R3;207;BOUIRA 01;BOUIRA;0,126;0,589;-0,463
R3;208;MASCARA 08;MASCARA;0,106;0,588;-0,482
R3;209;TLEMCEN 06;TLEMCEN;0,081;0,629;-0,548
R3;210;MOSTAGANEM 08;MOSTAGANEM;0,079;0,63;-0,551
R3;211;IN GUEZZAM 01;IN GUEZZAM;0,104;0,656;-0,552
R3;212;SIDI BEL ABBES 09;SIDI BEL ABBES;0,07;0,714;-0,644
R3;213;ALGER OUEST 15;ALGER OUEST;0,069;0,752;-0,683
R4;1;BOUMERDES 11;BOUMERDES;0,413;0,104;0,308
R4;2;JIJEL 02;JIJEL;0,464;0,162;0,301
R4;3;ORAN 23;ORAN;0,401;0,165;0,236
R4;4;TIARET 18;TIARET;0,389;0,175;0,214
R4;5;ORAN 29;ORAN;0,344;0,256;0,088
R4;6;LAGHOUAT 05;LAGHOUAT;0,312;0,256;0,056
R4;7;TEBESSA 22;TEBESSA;0,347;0,328;0,019
R4;8;TIARET 27;TIARET;0,288;0,269;0,019
R4;9;ALGER OUEST 21;ALGER OUEST;0,257;0,302;-0,045
R4;10;ORAN 16;ORAN;0,294;0,386;-0,091
R4;11;BOUMERDES 14;BOUMERDES;0,252;0,362;-0,111
R4;12;SOUK AHRAS 06;SOUK AHRAS;0,305;0,42;-0,115
R4;13;OUARGLA 11;OUARGLA;0,209;0,327;-0,117
R4;14;ORAN 12;ORAN;0,199;0,364;-0,165
R4;15;SAIDA 03;SAIDA;0,167;0,447;-0,28
R4;16;MASCARA 04;MASCARA;0,177;0,494;-0,318
