Classe;Désignation;UPW;Score DEA;Rang DEA;Flux net PROMETHEE II;Rang PROMETHEE II;Écart de rang;Profil
R1;Agency_713;UPW_038;0,574;100;-0,208;151;51;Faibles sur les deux approches
R1;Agency_249;UPW_014;0,572;102;-0,055;107;5;Faibles sur les deux approches
R1;Agency_484;UPW_050;0,57;103;-0,231;159;56;Faibles sur les deux approches
R1;Agency_509;UPW_038;0,564;104;-0,106;125;21;Faibles sur les deux approches
R1;Agency_366;UPW_006;0,562;106;-0,094;119;13;Faibles sur les deux approches
R1;Agency_955;UPW_006;0,56;107;-0,226;157;50;Faibles sur les deux approches
R1;Agency_117;UPW_007;0,559;108;-0,297;174;66;Faibles sur les deux approches
R1;Agency_802;UPW_044;0,558;110;-0,121;129;19;Faibles sur les deux approches
R1;Agency_251;UPW_016;0,554;112;-0,133;133;21;Faibles sur les deux approches
R1;Agency_053;UPW_040;0,548;113;-0,181;146;33;Faibles sur les deux approches
R1;Agency_914;UPW_016;0,539;114;-0,138;137;23;Faibles sur les deux approches
R1;Agency_406;UPW_004;0,523;121;-0,134;135;14;Faibles sur les deux approches
R1;Agency_875;UPW_006;0,521;123;-0,04;103;20;Faibles sur les deux approches
R1;Agency_569;UPW_016;0,52;124;-0,096;120;4;Faibles sur les deux approches
R1;Agency_774;UPW_008;0,514;126;-0,018;98;28;Faibles sur les deux approches
R1;Agency_936;UPW_012;0,506;130;-0,086;115;15;Faibles sur les deux approches
R1;Agency_912;UPW_006;0,499;132;-0,14;138;6;Faibles sur les deux approches
R1;Agency_299;UPW_055;0,499;133;-0,012;97;36;Faibles sur les deux approches
R1;Agency_136;UPW_005;0,498;134;-0,045;105;29;Faibles sur les deux approches
R1;Agency_803;UPW_044;0,494;135;-0,146;139;4;Faibles sur les deux approches
R1;Agency_129;UPW_045;0,49;139;-0,24;161;22;Faibles sur les deux approches
R1;Agency_144;UPW_005;0,488;141;-0,189;148;7;Faibles sur les deux approches
R1;Agency_623;UPW_054;0,475;142;-0,09;116;26;Faibles sur les deux approches
R1;Agency_701;UPW_055;0,462;144;-0,292;171;27;Faibles sur les deux approches
R1;Agency_427;UPW_023;0,46;145;-0,213;152;7;Faibles sur les deux approches
R1;Agency_641;UPW_041;0,46;146;-0,026;100;46;Faibles sur les deux approches
R1;Agency_030;UPW_015;0,455;147;-0,067;111;36;Faibles sur les deux approches
R1;Agency_116;UPW_007;0,452;148;-0,163;142;6;Faibles sur les deux approches
R1;Agency_246;UPW_005;0,444;149;-0,276;168;19;Faibles sur les deux approches
R1;Agency_156;UPW_008;0,441;150;-0,304;175;25;Faibles sur les deux approches
R1;Agency_385;UPW_006;0,438;151;-0,326;179;28;Faibles sur les deux approches
R1;Agency_898;UPW_010;0,436;153;-0,08;114;39;Faibles sur les deux approches
R1;Agency_058;UPW_017;0,427;154;-0,331;180;26;Faibles sur les deux approches
R1;Agency_195;UPW_011;0,423;156;-0,422;183;27;Faibles sur les deux approches
R1;Agency_596;UPW_030;0,423;157;-0,253;164;7;Faibles sur les deux approches
R1;Agency_186;UPW_039;0,423;158;-0,523;184;26;Faibles sur les deux approches
R1;Agency_747;UPW_048;0,407;162;-0,379;182;20;Faibles sur les deux approches
R1;Agency_120;UPW_007;0,406;163;-0,22;154;9;Faibles sur les deux approches
R1;Agency_669;UPW_024;0,406;164;-0,292;172;8;Faibles sur les deux approches
R1;Agency_761;UPW_013;0,404;165;-0,223;155;10;Faibles sur les deux approches
R1;Agency_384;UPW_054;0,4;166;-0,322;178;12;Faibles sur les deux approches
R1;Agency_446;UPW_021;0,394;168;-0,28;170;2;Faibles sur les deux approches
R1;Agency_099;UPW_004;0,394;169;-0,331;181;12;Faibles sur les deux approches
R1;Agency_279;UPW_017;0,393;170;-0,09;117;53;Faibles sur les deux approches
R1;Agency_137;UPW_006;0,386;171;-0,167;143;28;Faibles sur les deux approches
R1;Agency_439;UPW_010;0,374;172;-0,101;123;49;Faibles sur les deux approches
R1;Agency_643;UPW_015;0,371;173;-0,096;121;52;Faibles sur les deux approches
R1;Agency_599;UPW_010;0,367;174;-0,278;169;5;Faibles sur les deux approches
R1;Agency_270;UPW_035;0,347;175;-0,063;110;65;Faibles sur les deux approches
R1;Agency_044;UPW_054;0,341;176;-0,195;149;27;Faibles sur les deux approches
R1;Agency_827;UPW_010;0,334;177;-0,32;177;0;Faibles sur les deux approches
R1;Agency_760;UPW_013;0,33;178;-0,256;165;13;Faibles sur les deux approches
R1;Agency_665;UPW_040;0,323;179;-0,236;160;19;Faibles sur les deux approches
R1;Agency_580;UPW_030;0,308;180;-0,175;145;35;Faibles sur les deux approches
R1;Agency_710;UPW_038;0,301;181;-0,218;153;28;Faibles sur les deux approches
R1;Agency_242;UPW_004;0,286;182;-0,251;162;20;Faibles sur les deux approches
R1;Agency_110;UPW_010;0,284;183;-0,168;144;39;Faibles sur les deux approches
R1;Agency_885;UPW_029;0,249;184;-0,206;150;34;Faibles sur les deux approches
R1;Agency_243;UPW_014;1,0;1;0,478;2;1;Performantes sur les deux dimensions
R1;Agency_908;UPW_034;1,0;2;0,469;3;1;Performantes sur les deux dimensions
R1;Agency_563;UPW_026;1,0;3;0,433;6;3;Performantes sur les deux dimensions
R1;Agency_823;UPW_006;1,0;4;0,429;7;3;Performantes sur les deux dimensions
R1;Agency_724;UPW_039;1,0;5;0,368;9;4;Performantes sur les deux dimensions
R1;Agency_620;UPW_015;1,0;6;0,231;22;16;Performantes sur les deux dimensions
R1;Agency_684;UPW_035;1,0;7;0,216;26;19;Performantes sur les deux dimensions
R1;Agency_618;UPW_031;1,0;8;0,203;28;20;Performantes sur les deux dimensions
R1;Agency_627;UPW_005;1,0;9;0,099;60;51;Performantes sur les deux dimensions
